setup_id,subject_id,kinect_id,action_id,start_frame,stop_frame
001,019,2,1,00000,00216
001,019,2,1,00286,00449
001,019,2,1,00584,00957
001,019,2,2,00960,01343
001,019,2,3,01344,01746
001,019,2,4,01760,02150
001,019,2,5,02169,02210
001,019,2,5,02234,02274
001,019,2,5,02304,02344
001,019,2,5,02368,02404
001,019,2,5,02432,02460
001,019,2,5,02492,02534
001,019,2,6,02582,02615
001,019,2,6,02641,02677
001,019,2,6,02699,02732
001,019,2,6,02757,02797
001,019,2,6,02828,02861
001,019,2,6,02890,02927
001,019,2,7,02960,03350
001,019,2,8,03371,03410
001,019,2,8,03581,03610
001,019,2,8,03788,03820
001,019,2,9,04011,04060
001,019,2,9,04240,04286
001,019,2,9,04432,04475
001,019,2,10,04611,04646
001,019,2,10,04812,04847
001,019,2,10,05013,05060
001,019,2,11,05236,05275
001,019,2,11,05435,05477
001,019,2,11,05677,05713
001,019,2,12,05811,05965
001,019,2,13,06130,06191
001,019,2,13,06234,06309
001,019,2,14,06398,06777
001,019,2,15,06835,06892
001,019,2,15,07040,07102
001,019,2,16,07305,07350
001,019,2,13,07475,07560
001,019,2,14,07596,07702
001,019,2,17,08336,08367
001,019,2,17,08383,08434
001,019,2,17,08445,08524
001,019,2,17,08544,08595
001,019,2,17,08623,08692
001,019,2,18,08834,08888
001,019,2,18,08944,09040
001,019,2,19,09230,09299
001,019,2,19,09530,09602
001,019,2,20,09886,09966
002,032,2,1,00681,01036
002,032,2,2,01050,01446
002,032,2,3,01456,01842
002,032,2,4,01882,02245
002,032,2,5,02288,02327
002,032,2,5,02365,02406
002,032,2,5,02435,02474
002,032,2,5,02517,02556
002,032,2,5,02592,02647
002,032,2,5,02692,02727
002,032,2,5,02795,02833
002,032,2,5,02871,02920
002,032,2,5,02942,02979
002,032,2,5,03015,03059
002,032,2,5,03092,03135
002,032,2,5,03165,03210
002,032,2,6,03556,03598
002,032,2,6,03640,03690
002,032,2,6,03749,03805
002,032,2,6,03870,03923
002,032,2,7,04011,04335
002,032,2,8,04354,04422
002,032,2,8,04607,04661
002,032,2,9,05187,05238
002,032,2,9,05431,05469
002,032,2,10,05762,05827
002,032,2,10,06020,06064
002,032,2,11,06373,06433
002,032,2,11,06647,06662
002,032,2,12,07015,07164
002,032,2,13,07385,07474
002,032,2,13,07506,07603
002,032,2,14,07647,07944
002,032,2,15,08074,08134
002,032,2,15,08295,08347
002,032,2,16,08568,08637
002,032,2,17,09480,09571
002,032,2,17,09603,09684
002,032,2,17,09724,09790
002,032,2,18,09993,10042
002,032,2,18,10172,10237
002,032,2,18,10431,10493
002,032,2,19,10634,10703
002,032,2,19,10941,11020
002,032,2,20,11269,11328
003,030,2,1,00292,00832
003,030,2,2,00832,01249
003,030,2,3,01249,01648
003,030,2,4,01648,02064
003,030,2,5,02064,02131
003,030,2,5,02158,02216
003,030,2,5,02242,02288
003,030,2,5,02324,02373
003,030,2,5,02399,02452
003,030,2,6,02453,02507
003,030,2,6,02531,02578
003,030,2,6,02606,02661
003,030,2,6,02693,02744
003,030,2,6,02782,02839
003,030,2,7,02870,03254
003,030,2,8,03261,03333
003,030,2,8,03389,03451
003,030,2,8,03527,03585
003,030,2,8,03679,03740
003,030,2,9,03875,03930
003,030,2,9,04032,04102
003,030,2,9,04209,04270
003,030,2,9,04387,04438
003,030,2,10,04516,04580
003,030,2,10,04661,04722
003,030,2,10,04829,04893
003,030,2,11,05063,05123
003,030,2,11,05214,05274
003,030,2,11,05380,05467
003,030,2,12,05707,05852
003,030,2,13,06072,06169
003,030,2,13,06181,06266
003,030,2,13,06300,06398
003,030,2,13,06425,06519
003,030,2,13,06582,06668
003,030,2,15,06735,06790
003,030,2,15,06957,07028
003,030,2,16,07162,07217
003,030,2,16,07340,07396
003,030,2,17,08291,08386
003,030,2,17,08402,08552
003,030,2,18,08680,08748
003,030,2,18,08852,08904
003,030,2,19,09081,09199
003,030,2,19,09315,09391
003,030,2,20,09674,09761
003,030,2,20,09930,10006
004,002,2,17,00220,00347
004,002,2,17,00464,00602
004,002,2,18,00801,00866
004,002,2,18,00956,01049
004,002,2,19,01178,01268
004,002,2,19,01522,01624
004,002,2,20,01827,01919
005,013,2,1,00369,00656
005,013,2,2,00672,01060
005,013,2,3,01086,01470
005,013,2,4,01493,01860
005,013,2,5,01899,01937
005,013,2,5,01965,02000
005,013,2,5,02029,02068
005,013,2,5,02093,02135
005,013,2,5,02170,02206
005,013,2,6,02283,02320
005,013,2,6,02352,02385
005,013,2,6,02418,02459
005,013,2,6,02482,02520
005,013,2,6,02549,02590
005,013,2,6,02620,02655
005,013,2,7,02765,03050
005,013,2,8,03110,03144
005,013,2,8,03254,03293
005,013,2,8,03417,03470
005,013,2,9,03703,03744
005,013,2,9,03900,03947
005,013,2,9,04099,04152
005,013,2,10,04315,04353
005,013,2,10,04507,04555
005,013,2,10,04692,04741
005,013,2,11,04888,04940
005,013,2,11,05070,05123
005,013,2,11,05283,05330
005,013,2,12,05545,05679
005,013,2,13,05886,05944
005,013,2,13,06006,06066
005,013,2,14,06111,06476
005,013,2,15,06560,06602
005,013,2,15,06801,06849
005,013,2,16,07014,07057
005,013,2,16,07249,07298
005,013,2,17,08150,08214
005,013,2,17,08290,08377
005,013,2,17,08435,08497
005,013,2,18,08628,08654
005,013,2,18,08808,08852
005,013,2,19,09023,09085
005,013,2,19,09274,09330
005,013,2,20,09642,09713
005,013,2,20,09905,09960
006,022,2,1,00536,00911
006,022,2,2,00958,01313
006,022,2,3,01335,01691
006,022,2,4,01756,02140
006,022,2,5,02143,02186
006,022,2,5,02213,02253
006,022,2,5,02270,02311
006,022,2,5,02324,02360
006,022,2,5,02374,02412
006,022,2,5,02423,02455
006,022,2,5,02467,02500
006,022,2,6,02511,02551
006,022,2,6,02574,02607
006,022,2,6,02619,02655
006,022,2,6,02667,02709
006,022,2,6,02711,02748
006,022,2,6,02762,02795
006,022,2,6,02809,02840
006,022,2,6,02870,02903
006,022,2,7,02927,03311
006,022,2,8,03373,03433
006,022,2,8,03694,03741
006,022,2,9,03972,04030
006,022,2,9,04213,04263
006,022,2,10,04538,04590
006,022,2,10,04791,04838
006,022,2,11,05143,05195
006,022,2,11,05436,05487
006,022,2,12,05786,05945
006,022,2,13,06148,06268
006,022,2,14,06343,06764
006,022,2,15,06824,06879
006,022,2,16,07149,07226
006,022,2,17,08610,08681
006,022,2,17,08779,08854
006,022,2,18,09061,09166
006,022,2,18,09272,09347
006,022,2,19,09448,09510
006,022,2,19,09725,09795
006,022,2,20,10069,10187
007,001,2,1,00001,00309
007,001,2,2,00310,00738
007,001,2,3,00739,01125
007,001,2,4,01126,01554
007,001,2,5,01568,01625
007,001,2,5,01633,01684
007,001,2,5,01704,01763
007,001,2,5,01764,01836
007,001,2,5,01837,01908
007,001,2,6,01942,01988
007,001,2,6,02003,02051
007,001,2,6,02066,02117
007,001,2,6,02142,02189
007,001,2,6,02201,02260
007,001,2,6,02276,02329
007,001,2,6,02332,02357
007,001,2,7,02358,02750
007,001,2,8,02751,02815
007,001,2,8,02988,03063
007,001,2,8,03208,03281
007,001,2,9,03402,03466
007,001,2,9,03599,03688
007,001,2,9,03818,03880
007,001,2,10,04005,04067
007,001,2,10,04266,04318
007,001,2,10,04484,04536
007,001,2,11,04620,04682
007,001,2,11,04809,04872
007,001,2,11,05015,05075
007,001,2,12,05202,05352
007,001,2,13,05535,05600
007,001,2,13,05631,05691
007,001,2,14,05759,06193
007,001,2,15,06515,06584
007,001,2,16,06729,06800
008,023,2,1,00000,00289
008,023,2,1,00412,00752
008,023,2,2,00753,01156
008,023,2,3,01157,01577
008,023,2,4,01578,01969
